kula10
t,x,y
0.000000000E0,9.763225343E-3,3.862093590E-1
3.336666667E-2,1.075960680E-2,3.842485432E-1
6.673333333E-2,1.624613590E-2,3.816382615E-1
1.001000000E-1,2.524879996E-2,3.712734044E-1
1.334666667E-1,3.762256521E-2,3.658312112E-1
1.668333333E-1,5.373302554E-2,3.558321616E-1
2.002000000E-1,7.339067114E-2,3.444698030E-1
2.335666667E-1,9.716062486E-2,3.320318877E-1
2.669333333E-1,1.247795350E-1,3.193306675E-1
3.003000000E-1,1.565003170E-1,3.086434178E-1
3.336666667E-1,1.912002487E-1,3.001479609E-1
3.670333333E-1,2.276532451E-1,2.979151329E-1
4.004000000E-1,2.636907864E-1,3.009634097E-1
4.337666667E-1,2.977870358E-1,3.062468066E-1
4.671333333E-1,3.310747666E-1,3.117460128E-1
5.005000000E-1,3.632427557E-1,3.154438113E-1
5.338666667E-1,3.947390940E-1,3.174824789E-1
5.672333333E-1,4.265515131E-1,3.124030657E-1
6.006000000E-1,4.590461241E-1,3.037391277E-1
6.339666667E-1,4.926078460E-1,2.940616527E-1
6.673333333E-1,5.287338065E-1,2.832430590E-1
7.007000000E-1,5.676336522E-1,2.752635482E-1
7.340666667E-1,6.084171565E-1,2.742069201E-1
7.674333333E-1,6.488992836E-1,2.751591816E-1
8.008000000E-1,6.878219369E-1,2.805215361E-1
8.341666667E-1,7.251900684E-1,2.838919540E-1
8.675333333E-1,7.635847220E-1,2.845591105E-1
9.009000000E-1,8.015687454E-1,2.819014646E-1
9.342666667E-1,8.406779824E-1,2.693111785E-1
9.676333333E-1,8.813303977E-1,2.554489036E-1
1.001000000E0,9.248110007E-1,2.430900086E-1
1.034366667E0,9.705335945E-1,2.356972957E-1
1.067733333E0,1.016761441E0,2.370719526E-1
1.101100000E0,1.059711229E0,2.505633263E-1
1.134466667E0,1.100531565E0,2.630402306E-1
1.167833333E0,1.138605472E0,2.767581626E-1
1.201200000E0,1.175499316E0,2.849975831E-1
1.234566667E0,1.211840492E0,2.870859642E-1
1.267933333E0,1.249350445E0,2.843288300E-1
1.301300000E0,1.288091346E0,2.772210872E-1
1.334666667E0,1.326974530E0,2.672197776E-1
1.368033333E0,1.368060046E0,2.546109116E-1
1.401400000E0,1.411897953E0,2.412324949E-1
1.434766667E0,1.456980438E0,2.242510845E-1
