kule8
t,x,y
0.000000000E0,1.143930191E-2,3.841822123E-1
3.336666667E-2,1.141119211E-2,3.844028006E-1
6.673333333E-2,1.382068525E-2,3.842483484E-1
1.001000000E-1,2.091470223E-2,3.807028029E-1
1.334666667E-1,3.073383260E-2,3.703367106E-1
1.668333333E-1,4.531563567E-2,3.624469872E-1
2.002000000E-1,6.296444926E-2,3.529367844E-1
2.335666667E-1,8.398980152E-2,3.396812531E-1
2.669333333E-1,1.097762422E-1,3.271961147E-1
3.003000000E-1,1.384512852E-1,3.142626396E-1
3.336666667E-1,1.718191448E-1,3.041404058E-1
3.670333333E-1,2.077990297E-1,3.008393027E-1
4.004000000E-1,2.448557258E-1,2.996090233E-1
4.337666667E-1,2.802943971E-1,3.036750648E-1
4.671333333E-1,3.138623148E-1,3.101521046E-1
5.005000000E-1,3.460388663E-1,3.154453273E-1
5.338666667E-1,3.784071806E-1,3.179624375E-1
5.672333333E-1,4.099553296E-1,3.182920500E-1
6.006000000E-1,4.429220758E-1,3.094202938E-1
6.339666667E-1,4.761908622E-1,3.003468565E-1
6.673333333E-1,5.121248956E-1,2.897118008E-1
7.007000000E-1,5.500755152E-1,2.792424317E-1
7.340666667E-1,5.910204066E-1,2.743269915E-1
7.674333333E-1,6.321973328E-1,2.741904614E-1
8.008000000E-1,6.715088058E-1,2.785344619E-1
8.341666667E-1,7.109712595E-1,2.830601691E-1
8.675333333E-1,7.497299021E-1,2.850822392E-1
9.009000000E-1,7.884689504E-1,2.825613282E-1
9.342666667E-1,8.273043387E-1,2.744044077E-1
9.676333333E-1,8.674138246E-1,2.618139800E-1
1.001000000E0,9.100111154E-1,2.482775600E-1
1.034366667E0,9.553215639E-1,2.382444038E-1
1.067733333E0,1.002112116E0,2.386200808E-1
1.101100000E0,1.047153012E0,2.469478869E-1
1.134466667E0,1.089593191E0,2.604166350E-1
1.167833333E0,1.129436341E0,2.726939309E-1
1.201200000E0,1.168377701E0,2.831087521E-1
1.234566667E0,1.206168951E0,2.877683615E-1
1.267933333E0,1.244890683E0,2.850523479E-1
1.301300000E0,1.283191292E0,2.791507852E-1
1.334666667E0,1.323092973E0,2.695831331E-1
1.368033333E0,1.364584987E0,2.564641682E-1
1.401400000E0,1.407897636E0,2.425921365E-1
1.434766667E0,1.453185545E0,2.261796344E-1
