mass_A
t	x	y
0.000000000E0	6.133986815E-3	3.727441996E-1
3.336666667E-2	7.519308308E-3	3.720868211E-1
6.673333333E-2	1.229531844E-2	3.716491935E-1
1.001000000E-1	2.192455073E-2	3.645419275E-1
1.334666667E-1	3.364862952E-2	3.569705834E-1
1.668333333E-1	4.954825918E-2	3.450629051E-1
2.002000000E-1	6.909290054E-2	3.342876199E-1
2.335666667E-1	9.280179289E-2	3.223449820E-1
2.669333333E-1	1.202888451E-1	3.093832187E-1
3.003000000E-1	1.514019046E-1	2.981298890E-1
3.336666667E-1	1.863154572E-1	2.908446728E-1
3.670333333E-1	2.225223683E-1	2.873327152E-1
4.004000000E-1	2.594332165E-1	2.899777927E-1
4.337666667E-1	2.943122184E-1	2.954987296E-1
4.671333333E-1	3.280794940E-1	3.016069677E-1
5.005000000E-1	3.605296004E-1	3.054849685E-1
5.338666667E-1	3.930600732E-1	3.071116401E-1
5.672333333E-1	4.241233859E-1	3.023336397E-1
6.006000000E-1	4.570936488E-1	2.935074451E-1
6.339666667E-1	4.916596775E-1	2.828418531E-1
6.673333333E-1	5.287221357E-1	2.728170796E-1
7.007000000E-1	5.682924004E-1	2.638334998E-1
7.340666667E-1	6.090534552E-1	2.631894908E-1
7.674333333E-1	6.503234338E-1	2.648303941E-1
8.008000000E-1	6.901961225E-1	2.697396520E-1
8.341666667E-1	7.294692571E-1	2.725795305E-1
8.675333333E-1	7.682811361E-1	2.725269394E-1
9.009000000E-1	8.080646095E-1	2.684274885E-1
9.342666667E-1	8.481358060E-1	2.550124133E-1
9.676333333E-1	8.895977074E-1	2.412596183E-1
1.001000000E0	9.347242276E-1	2.300213631E-1
1.034366667E0	9.824510472E-1	2.257708307E-1
1.067733333E0	1.029154396E0	2.306680105E-1
1.101100000E0	1.074210803E0	2.418511300E-1
1.134466667E0	1.113767613E0	2.556917220E-1
1.167833333E0	1.152961544E0	2.660631770E-1
1.201200000E0	1.191604474E0	2.737146468E-1
1.234566667E0	1.229544120E0	2.725274584E-1
1.267933333E0	1.268423097E0	2.660294005E-1
1.301300000E0	1.308319513E0	2.586291154E-1
1.334666667E0	1.348814081E0	2.460176921E-1
1.368033333E0	1.392630493E0	2.333276262E-1
1.401400000E0	1.436737327E0	2.141052975E-1
1.434766667E0	1.479650510E0	1.914064336E-1
