kule9
t	x	y
0.000000000E0	1.245305872E-2	3.823089026E-1
3.336666667E-2	1.488234260E-2	3.803177204E-1
6.673333333E-2	2.108505037E-2	3.766957996E-1
1.001000000E-1	3.085030359E-2	3.664059497E-1
1.334666667E-1	4.526892290E-2	3.584125353E-1
1.668333333E-1	6.277869337E-2	3.481792950E-1
2.002000000E-1	8.368717574E-2	3.365240201E-1
2.335666667E-1	1.089790158E-1	3.245348767E-1
2.669333333E-1	1.377344353E-1	3.115939482E-1
3.003000000E-1	1.708521761E-1	3.010973703E-1
3.336666667E-1	2.064568521E-1	2.974693506E-1
3.670333333E-1	2.434715970E-1	2.946065019E-1
4.004000000E-1	2.783558192E-1	2.987858819E-1
4.337666667E-1	3.131080529E-1	3.052158812E-1
4.671333333E-1	3.454439797E-1	3.102239511E-1
5.005000000E-1	3.777452846E-1	3.127744855E-1
5.338666667E-1	4.091114913E-1	3.149170436E-1
5.672333333E-1	4.419771273E-1	3.065668729E-1
6.006000000E-1	4.751361420E-1	2.966140955E-1
6.339666667E-1	5.106188738E-1	2.863606600E-1
6.673333333E-1	5.480746565E-1	2.758925531E-1
7.007000000E-1	5.885522656E-1	2.697139181E-1
7.340666667E-1	6.294168155E-1	2.707773741E-1
7.674333333E-1	6.696465033E-1	2.749605580E-1
8.008000000E-1	7.089779332E-1	2.789294834E-1
8.341666667E-1	7.472868384E-1	2.804807501E-1
8.675333333E-1	7.859837862E-1	2.782826388E-1
9.009000000E-1	8.246524335E-1	2.707536833E-1
9.342666667E-1	8.647089816E-1	2.584202520E-1
9.676333333E-1	9.070667890E-1	2.450760680E-1
1.001000000E0	9.523070041E-1	2.349478106E-1
1.034366667E0	9.992561898E-1	2.347185229E-1
1.067733333E0	1.045497648E0	2.415077893E-1
1.101100000E0	1.087914455E0	2.552064954E-1
1.134466667E0	1.128004636E0	2.688706190E-1
1.167833333E0	1.166826828E0	2.788619603E-1
1.201200000E0	1.204006154E0	2.839105503E-1
1.234566667E0	1.242553733E0	2.824104840E-1
1.267933333E0	1.281365309E0	2.771596929E-1
1.301300000E0	1.321034826E0	2.671043284E-1
1.334666667E0	1.362374508E0	2.545993787E-1
1.368033333E0	1.405275419E0	2.403627685E-1
1.401400000E0	1.450403785E0	2.242379280E-1
